Rk,Player,season_start,age,pos,pos_no,tm,all_star_votes,g,team_wins,overall_seed,preseason_odds_rank,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ft,fta,ft_per,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perc,usg_perc,ws,ws_per_48,bpm,vorp
13,Giannis Antetokounmpo,2019,25,PF,4,MIL,5902286,76.14285714,66.85,1,3,30.9,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15,0.631,0.589,6.3,10,0.633,2.2,11.4,13.6,5.6,1,1,3.7,3.1,29.5,31.9,0.612,0.237,0.5,7.6,34.6,22,34.3,1.4,3.1,13.1,37.5,11.1,0.28,11.6,6.6
249,LeBron James,2019,35,PG,1,LAL,6275459,78,63.77,2,2,34.9,9.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,25.5,0.577,0.326,0.293,3.1,21.5,12.4,49.1,1.6,1.4,15,31.4,9.9,0.206,8.4,6.1
197,James Harden,2019,30,SG,2,HOU,3751362,79.95,51.25,8,4,37.2,9.9,22.4,0.443,4.4,12.4,0.354,5.5,9.9,0.554,0.541,10.3,11.9,0.864,1,5.6,6.6,7.5,1.9,0.9,4.5,3.4,34.4,28.8,0.621,0.555,0.529,3,15.6,9.2,35,2.3,2.1,13.9,36.1,12.8,0.253,9.4,7
293,Kawhi Leonard,2019,28,SF,3,LAC,3917190,62,56.38,7,1,32.1,9.3,19.9,0.47,2.2,5.7,0.378,7.2,14.2,0.506,0.524,6.2,7.1,0.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2,27.1,26.9,0.588,0.287,0.353,3.2,19.1,11.4,26.6,2.6,1.6,10.3,33.1,8.5,0.224,9,5.1
133,Luka Doncic,2019,20,PG,1,DAL,6111735,74,48.95,12,16,32.8,9.5,20.6,0.463,2.8,8.9,0.316,6.7,11.7,0.574,0.531,7,9.2,0.758,1.3,8.1,9.4,8.8,1,0.2,4.3,2.5,28.8,27.6,0.585,0.433,0.445,4,25,14.7,45.9,1.5,0.6,14.7,36.7,8.8,0.21,8.5,5.3
82,Jimmy Butler,2019,30,SF,3,MIA,2784717,71.75,51.72,4,14,35.1,5.9,13.1,0.455,0.5,2.1,0.244,5.4,11,0.495,0.474,7.6,9.1,0.834,1.8,4.8,6.7,6,1.8,0.6,2.2,1.4,19.9,23.6,0.584,0.158,0.689,6.3,15.3,11,28.1,2.5,1.6,11.2,25.1,9,0.223,5.5,3.7
260,Nikola Jokic,2019,24,C,5,DEN,1232979,82,54.23,3,8,31.2,7.8,14.9,0.527,1.1,3.5,0.314,6.7,11.3,0.594,0.564,3.4,4.2,0.817,2.3,7.6,9.9,7.1,1.2,0.6,3.1,3.1,20.2,24.9,0.604,0.237,0.28,8.1,26.2,17.2,34.7,1.8,1.8,15.8,26.8,9.7,0.203,7.5,5.5
395,Chris Paul,2019,34,PG,1,OKC,446095,82,51.25,13,21,31.9,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.554,0.552,3.6,4,0.907,0.4,4.6,5,6.7,1.6,0.2,2.3,2.3,17.6,21.8,0.612,0.344,0.314,1.3,15.6,8.7,34,2.4,0.4,13.7,23.3,8.9,0.195,4.3,3.5
122,Anthony Davis,2019,26,PF,4,LAL,5813769,70,63.77,2,2,35.2,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,0.536,7.2,8.5,0.846,2.3,7,9.3,3.2,1.5,2.3,2.5,2.5,26.1,27.5,0.61,0.199,0.479,7.4,22.1,14.8,15.2,2,6,10.4,29.3,11.2,0.252,8.1,5.5
342,Donovan Mitchell,2019,23,SG,2,UTA,928911,79.95,52.52,5,7,34.5,8.7,19.4,0.449,2.5,6.9,0.366,6.2,12.6,0.494,0.513,4,4.7,0.863,0.8,3.6,4.4,4.3,1,0.2,2.7,2.5,24,18.7,0.556,0.351,0.239,2.6,11.1,7,21.5,1.4,0.5,11.1,30.9,5.3,0.108,1.8,2.2
